timestamp,open,high,low,close,volume
10/31/2023,1809.67,1820,1781.62,1815.14,80270.49773
10/30/2023,1795.63,1830.64,1778.24,1809.69,80444.07174
10/29/2023,1776.48,1811.68,1763.25,1795.74,48201.56052
10/28/2023,1779.78,1803.48,1770.8,1776.48,34085.17269
10/27/2023,1803.56,1804.29,1745.05,1779.81,90425.04228
10/26/2023,1787.58,1865.86,1762.67,1803.57,162066.4581
10/25/2023,1785.06,1818.29,1760.2,1787.58,126450.2986
10/24/2023,1766.24,1854.62,1725.79,1785.28,261859.9008
10/23/2023,1664.43,1799.55,1657.95,1766.27,191320.1592
10/22/2023,1629.37,1668.28,1622.36,1664.43,64860.76692
10/21/2023,1604.94,1644.77,1593.06,1629.38,63605.34689
10/20/2023,1567.5,1632.11,1562,1604.96,110280.4028
10/19/2023,1563.66,1576.25,1542.36,1567.48,59230.76611
10/18/2023,1565.25,1586.27,1556.01,1563.67,57059.23547
10/17/2023,1600.03,1601.44,1552.74,1565.24,63796.8799
10/16/2023,1558.01,1641.41,1555.2,1600.02,140896.4686
10/15/2023,1554.98,1566.92,1548.3,1558.01,28564.73004
10/14/2023,1552.03,1561.53,1544.65,1554.87,20369.55429
10/13/2023,1539.26,1574.66,1537.31,1552.04,63935.58299
10/12/2023,1566.45,1568.05,1520.85,1539.25,68485.99936
10/11/2023,1567.63,1578.53,1545.5,1566.46,79781.25311
10/10/2023,1580.13,1595.15,1550.18,1567.63,79103.82962
10/9/2023,1633.77,1636.51,1548.22,1580.13,102399.5598
10/8/2023,1634.64,1642.33,1617.31,1633.78,38081.14823
10/7/2023,1645.9,1648.7,1631.01,1634.65,27241.91429
10/6/2023,1611.83,1662.23,1611.78,1645.95,71144.41945
10/5/2023,1646.58,1655.28,1608,1611.63,88002.97784
10/4/2023,1656.91,1657.91,1626.01,1646.58,80420.09103
10/3/2023,1662.62,1670.61,1643.56,1656.91,75294.23778
10/2/2023,1733.42,1743.84,1637.82,1662.62,158288.8722
10/1/2023,1670.84,1755.2,1668.51,1733.4,75393.93445
9/30/2023,1667.2,1694.25,1665.98,1670.84,52608.92317
9/29/2023,1652.94,1688.16,1648.33,1667.21,96959.81986
9/28/2023,1597.65,1668.55,1596.93,1652.94,136755.3821
9/27/2023,1593,1632.94,1582.38,1597.65,80254.44655
9/26/2023,1587.75,1598.84,1579.47,1593,49000.89806
9/25/2023,1580.59,1597.12,1563,1587.75,62583.93066
9/24/2023,1593.84,1600.89,1570.35,1580.64,32773.52823
9/23/2023,1593.04,1598.19,1587.97,1593.85,17727.34148
9/22/2023,1583.86,1602.43,1576.52,1593.03,49010.24393
9/21/2023,1622.26,1625.23,1567.81,1583.86,70280.57355
9/20/2023,1643.41,1649.57,1604.91,1622.27,69413.6481
9/19/2023,1636.93,1661.05,1626.77,1643.42,53665.43418
9/18/2023,1622.93,1669.43,1603.55,1636.94,82672.75437
9/17/2023,1634.87,1635.66,1612.35,1622.83,28240.63467
9/16/2023,1641.48,1652.54,1631.88,1634.87,25839.72627
9/15/2023,1627.17,1653.52,1611.52,1641.49,46587.30737
9/14/2023,1608.06,1644.4,1607.48,1627.18,84810.5747
9/13/2023,1592.92,1618.56,1581.65,1608.06,71432.28133
